Paper_title ,Broad_subject ,Specific_focus ,Data_type ,Country_studied,Publication_year,County,Region,UK_country,,Number of rivers or areas studied 
Morphology of the skulls in badger (Meles meles) and otter (Lutra lutra) - comparative aspects.,Anatomy and Physiology,Anatomy ,Postmortem,Romania,2019,,,,,
"Diet of the Eurasian otter (Lutra lutra ) on the River Gradac, Serbia: Predation in a brown trout‐dominated stream",Ecology ,Diet,Spraint,Serbia,2019,,,,,1 river system
High foraging efficiency of Eurasian otters in a shallow Iberian reservoir,Behaviour,Daily Routine,Observations,Spain,2019,,,,,1 river system
Commensal association of the common kingfisher with foraging Eurasian otters,Ecology,Species interactions ,Observations,Spain,2019,,,,,2 river systems 
Citizen Science in Eurasian Otter (Lutra lutra) Research Sighting Reports and Findings of Dead Otters,Population ,Population distribution,Observations_Carcasses,Sweden,2019,,,,,
"CITIZEN SCIENCE IN EURASIAN OTTER (Lutra lutra) RESEARCH SIGHTING REPORTS AND FINDINGS OF DEAD OTTERS 
",Population ,Population Size,Road kill,Sweden,2019,,,,,national
"DISTRIBUTION AND ECOLOGY OF LUTRA LUTRA (LINNAEUS, 1758) IN KIZILIRMAK RIVER (TURKEY)",Ecology,Diet_Habitat Suitability,Spraint_Survey,Turkey,2019,,,,,1 river system
"The habitat, ecological life conditions, and usage characteristics of the otter (Lutra lutra L. 1758) in the Balikdami Wildlife Development Area 
",Ecology ,Habitat Use ,Camera traps ,Turkey,2019,,,,,1 river system
"FENCED FISHERIES, EURASIAN OTTERS (Lutra lutra) AND LICENCED TRAPPING: AN IMPACT ASSESSMENT",Reviews and methods,Ecology Review,Survey,United Kingdom,2019,,,,,
"Recent history, current status, conservation and management of native mammalian carnivore species in Great Britain",Reviews and methods,Population Review,Literiture,United Kingdom,2019,,,,,National 
"Amphibians in Eurasian otter Lutra lutra diet: osteological identification unveils hidden prey richness and male-biased predation on anurans 
",Reviews and methods,Ecology Review,Literiture,Worldwide,2019,,,,,
Past and present: the status and distribution of otters (Carnivora: Lutrinae) in China,Reviews and methods,Species Review ,Literiture,China,2018,,,,,
The neglected otters in China: Distribution change in the past 400 years and current conservation status,Reviews and methods,Species Review ,Literiture,China,2018,,,,,
Anal glands adenomatous hyperplasia in the Eurasian otter (Lutra lutra): a case report,Health,Disease,Postmortem,Czech Republic,2018,,,,,
Molecular identification of Sarcocystis lutrae in the European otter (Lutra lutra) and the European badger (Meles meles) from the Czech Republic,Health,Parasites,Postmortem,Czech Republic,2018,,,,,NA
"Predation of Triturus cristatus (Caudata: Salamandridae) by the Eurasian otter, Lutra lutra (Carnivora: Mustelidae)",Behaviour,Predation,Observations ,Denmark,2018,,,,,1 river system
Fast and cost-effective single nucleotide polymorphism (SNP) detection in the absence of a reference genome using semideep next-generation Random Amplicon Sequencing (RAMseq),Population ,Population Genetics,Tissue samples_Spraint,Germany,2018,,,,,
The European otter (Lutra lutra) in Vjosa Riverand its main tributaries,Population ,Surveys ,Survey,Greece,2018,,,,,1 river system
"First Record of Eurasian Otter Lutra lutra in the Anamalai Hills, Southern Western Ghats, India",Population ,Population distribution,Tissue samples ,India,2018,,,,,
"Evidence of the Presence of Lutra lutra in Taleqan, Alborz Province, Iran ",Population ,Population distribution,Specimen,Iran,2018,,,,,
"First telemetry data on wild individuals from the threatened, isolated Italian otter (Lutra lutra) population",Ecology ,Habitat Use ,Tracking,Italy,2018,,,,,1 river system
Good News from the South: Filling the Gap between Two Otter Populations in Italy,Population ,Population distribution,Survey,Italy,2018,,,,,3 or more
"‘Otter, come out!’: taking away the stone on the southernmost Italian Lutra lutra population",Population ,Population Size,Spraint,Italy,2018,,,,,8 rivers
Long-term monitoring by roadkill counts of mammal populations living in intensively cultivated landscapes,Population ,Population Size,Survey,Italy,2018,,,,,1 river system
Action Plan for Eurasian otter Lutra lutra Conservation,Reviews and methods,Species Review ,Literiture,Latvia,2018,,,,,
"A National Survey of the Eurasian Otter (Lutra lutra L., 1758) in Mongolia",Population ,Population distribution_Population size,Survey,Mongolia,2018,,,,,
New Location for the Eurasian Otter Lutra lutra in the Catchments of the Western Rif Mountains of Morocco,Population ,Population distribution,Observations ,Morocco,2018,,,,,1 system
Otter fecal enterococci as general indicators of antimicrobial resistance dissemination in aquatic environments,Ecology,Microbiome_Human impacts,Spraint,Portugal,2018,,,,,1 river system
Extrinsic and intrinsic factors affecting the daily rhythms of a semiaquatic carnivore in a mediterranean environment,Ecology_Behaviour ,Habitat Use_Daily routine ,Tracking_Environmental variables,Portugal,2018,,,,,3 river systems
"Sexual dimorphism of craniomandibular size in the eurasian otter, Lutra lutra, from South Korea",Anatomy and Physiology,Anatomy ,Postmortem,Republic of Korea,2018,,,,,
Analysis of the Steroid Hormone Levels in the Eurasian Otter (Lutra lutra) by using Fecal Samples,Anatomy and Physiology,Physiology,Spraint,Republic of Korea,2018,,,,,
"Stream health, topography, and land use influences on the distribution of the Eurasian otter Lutra lutra in the Nakdong River basin, South Korea",Ecology ,Habitat Use ,Enviromental variables,Republic of Korea,2018,,,,,1 region
Sepsis Caused by Streptococcus suis Serotype 2 in a Eurasian River Otter (Lutra lutra) in the Republic of Kore,Health,Disease,Postmortem,Republic of Korea,2018,,,,,
Ectopic migration of Dirofilaria immitis in a Eurasian otter (Lutra lutra) in Korea,Health,Parasites,Postmortem,Republic of Korea,2018,,,,,
Identification of novel haplotypes and interpretation of gene flow of mitochondrial DNA control region of Eurasian otter (Lutra lutra) for the effective conservation,Population ,Population Structure ,Tissue samples ,Republic of Korea,2018,,,,,
"Comparative diet analysis of the Eurasian otter (Lutra lutra) in different habitats: Putna - Vrancea Natural Park and Lower Siret Valley, south-eastern Romania",Ecology,Diet,Spraint,Romania,2018,,,,,2 river systems 
First report of a naturally patent infection with Dirofilaria immitis in an otter (Lutra lutra),Health,Parasites,Postmortem,Serbia,2018,,,,,NA
Public acceptability of measures to prevent from predation on commercial fish by the endangered Eurasian otter (Lutra lutra) in Natura 2000,Ecology,Human impacts,Survey,Slovenia,2018,,,,,1 region
The Recovery of a Coastal Eurasian Otter (Lutra lutra) Population in the Galician Atlantic Islands Maritime-Terrestrial National Park,Population ,Population Size,Survey_Camera traps,Spain,2018,,,,,
"The otter (Lutra lutra Linnaeus, 1758) in Belgium: an unpopular and maltreated species (19th-early 20th centuries)",Reviews and methods,Ecology Review,Literiture,Belgium,2017,,,,,
"DIETARY COMPOSITION OF EURASIAN OTTER (LUTRA LUTRA LINNAEUS, 1758) IN THE EASTERN RHODOPE MOUNTAINS (BULGARIA)",Ecology,Diet,Spraint,Bulgaria,2017,,,,,4 river systems 
Do otters target the same fish species and sizes as anglers? A case study from a lowland trout stream (Czech Republic),Ecology,Human impacts,Spraint_Survey,Czech Republic,2017,,,,,1 pond
"Arcanobacterium phocae infection in mink (Neovison vison), seals (Phoca vitulina, Halichoerus grypus) and otters (Lutra lutra)",Health,Disease,Specimen,Denmark,2017,,,,,
Geographic variation of craniodental morphology of the Eurasian otter (Lutra lutra) in East Asia,Anatomy and Physiology,Anatomy ,Morphological mesures ,East Asia ,2017,,,,,
New data on fish diet and bone digestion of the Eurasian otter (Lutra lutra) (Mammalia: Mustelidae) in central France,Ecology ,Diet,Spraint,France,2017,,,,,1 river system
Genetic variability and size estimates of the Eurasian otter (Lutra lutra) population in the Bohemian Forest Ecosystem,Population ,Population Genetics ,Spraint,Germany_Czech Republic,2017,,,,,
MORTALITY CAUSES AND BODY DIMENSIONS OF OTTERS (Lutra lutra) DETERMINED BY MEANS OF POST MORTEM ANALYSIS IN HUNGARY,Health,General Health ,Postmortem,Hungary,2017,,,,,
"Comparative hair morphology of the Indian Otter species Aonyx cinerea, Lutra lutra and Lutrogale perspicillata ",Anatomy and Physiology,Anatomy ,Morphological mesures ,India,2017,,,,,
The Eurasian otter (Lutra lutra) as a potential host for rickettsial pathogens in southern Italy,Health,Parasites,Specimen,Italy,2017,,,,,
"Individual identification of Eurasian otters (Lutra lutra) in South Korea (Sincheon River, Daegu) by microsatellite markers",Pollution,Population Genetics,Spraint,Republic of Korea,2017,,,,,1 river system
"Individual identification of Eurasian otters (Lutra lutra) in Korea (Sincheon River, Daegu) by microsatellite markers",Population ,Population Genetics ,Spraint,Republic of Korea,2017,,,,,
"Distribution and habitat models of the Eurasian otter, Lutra lutra, in Korea",Population_Ecology,Population distribution_Habitiat sutibility,Enviromental variables,Republic of Korea,2017,,,,,1 region
Conservation activities for the Eurasian otter (Lutra lutra) in Korea traced from newspapers during 1962–2010,Reviews and methods,Conservation Status Review ,Literiture,Republic of Korea,2017,,,,,
"Comparative diet analysis of the Eurasian otter (Lutra lutra) in different habitats: Putna - Vrancea Natural Park and Lower Siret Valley, south-eastern Romania",Ecology ,Diet,Spraint,Romania,2017,,,,,2 river systems 
"Food and feeding habits of Eurasian otter, Lutra lutra, and American mink, Neovison vison, in an Atlantic island of northwest Spain",Ecology ,Diet,Spraint,Spain,2017,,,,,1 island
Odour dialects among wild mammals,Anatomy and Physiology,Physiology,Specimen,United Kingdom,2017,National ,,,,
Importance of small fishes and invasive crayfish in otter Lutra lutra diet in an English chalk stream,Ecology ,Diet,Spraint,United Kingdom,2017,Hampshire,South,England,,1 river system
East-West Divide: temperature and land cover drive spatial variation of Toxoplasma gondii infection in Eurasian otters (Lutra lutra) from England and Wales,Health,Parasites,Tissue samples ,United Kingdom,2017,National ,,England,,
Developing an empirical approach to optimal camera-trap deployment at mammal resting sites: evidence from a longitudinal study of an otter Lutra lutra holt,Reviews and methods,Ecology methods,Camera traps ,United Kingdom,2017,NA,Lowlands,Scotland,,
UROLITHIASIS IN FREE-RANGING AND CAPTIVE OTTERS (LUTRA LUTRA AND AONYX CINEREA) IN EUROPE,Health,Disease,Postmortem,"United Kingdom_Denmark_Germany_Cech Republic_Netherlands_Switzerland_Austria 
",2017,,,,,
The Eurasian Otter Lutra lutra in Afghanistan: A Review of the Sparse Available Information,Reviews and methods,Species Review ,Literiture,Afghanistan,2016,,,,,
Eurasian otter Lutra lutra in developing countries: a resurvey of Albania 22 years after the fall of communism,Population ,Population Size ,Survey,Albania,2016,,,,,
Historical distribution of the otter (Lutra lutra) in north‐east China according to historical records (1950–2014),Reviews and methods,Species Review ,Literiture,China,2016,,,,,
Distribution and molecular phylogeny of biliary trematodes (Opisthorchiidae) infecting native Lutra lutra and alien Neovison vison across Europe,Health,Parasites,Tissue samples ,Europe,2016,,,,,
Diet composition of the Eurasian otter Lutra lutra in different freshwater habitats of temperate Europe: a review and meta-analysis,Reviews and methods,Ecology Review,Literiture,Europe,2016,,,,,
Diet of otters (Lutra lutra) in various habitat types in the Pannonian biogeographical region compared to other regions of Europe,Reviews and methods,Ecology Review,Spraint,Europe,2016,,,,,
"Evidence of Predation and possible competition among three semi aquatic species, the endangered Pyrenean desman (Galemys pyrenaicus), the aquatic shrew (Neomys fodiens) and the European otter (Lutra lutra) using next-generation sequencing methods from faeces",Ecology ,Diet,Spraint,France,2016,,,,,
"Concentrations of organochlorine compounds (pesticides and PCBs), trace elements (Pb, Cd, Cu, and Hg), 134Cs, and 137Cs in the livers of the European otter (Lutra lutra), great cormorant (Phalacrocorax carbo), and European catfish (Silurus glanis), collected from the Loire River (France)",Pollution,Heavy metals_POPs,Tissue samples ,France,2016,,,,,
Genetic diversity and population structure of the Eurasian otter (Lutra lutra) in France,Population ,Population Genetics ,Tissue samples ,France,2016,,,,,
"First Systematic Survey For Otter (Lutra lutra) In Ladakh, Indian Trans Himalayas",Population ,Population distribution,Survey,India,2016,,,,,4 rivers
"Notes on the Occurrence of the Eurasian Otter (Lutra lutra L.) in the Forest of Balaghat, Madhya Pradesh, India",Population ,Population distribution,Survey_Camera traps,India,2016,,,,,1 river system
Photographic Records of Eurasian Otter Lutra lutra from the Central Indian Landscape,Population ,Population distribution,Camera traps ,India,2016,,,,,
DISTRIBUTION OF THE OTTER LUTRA LUTRA IN THE MUNSTER RIVER BLACKWATER CATCHMENT,Population ,Population Size ,Survey,Ireland,2016,,,,,
Distribution and diet of a recently-established population of Lutra lutra in the Valley of the River Ticino,Ecology ,Diet,Spraint,Italy,2016,,,,,1 river system
Lutra lutra (Carnivora: Mustelidae),Reviews and methods,Species Review ,Literiture,NA,2016,,,,,
Sexual dimorphism of the Eurasian otter (Lutra lutra) in Korea: Craniodental geometric morphometry,Anatomy and Physiology,Anatomy ,Morphological mesures ,Republic of Korea,2016,,,,,
Skinning toads is innate behaviour in otter (Lutra lutra) cubs,Behaviour,Predation ,Observations ,Spain,2016,,,,,
CASE REPORT: A CHRONIC B-CELL LEUKEMIA IN A EURASIAN OTTER (Lutra lutra),Health,Disease,Specimen,Taiwan,2016,,,,,
Liver concentrations of flame retardants in Eurasian otters (Lutra lutra) collected from Scotland between 2013 and 2015: a Predatory Bird Monitoring Scheme (PBMS) report,Pollution,POPs,Tissue samples ,United Kingdom,2016,"Ross and Cromarty , Inverness,The Stewartry of Kirkcudbright, Dumfris",,Scotland ,,
"Insight into the Dietary Habits of the Eurasian Otter, Lutra lutra, in the East of Algeria (El-Kala National Park)",Ecology ,Diet,Spraint,Algeria,2015,,,,,1 region
Impact of fish stocking on Eurasian otter (Lutra lutra) densities: A case study on two salmonid streams,Ecology ,Diet,Spraint,Austria,2015,,,,,2 river systems 
Distribution and estimated population size of the otter (Lutra lutra L.) in the Alpine biogeograohical region of Croatia,Population ,Population Size ,Survey,Croatia,2015,,,,,
Non-invasive genetic mark-recapture as a means to study population dynamic and spatial use of Eurasian otters (Lutra lutra) in a fish pond landscape,Population ,Population Genetics ,Spraint,Germany,2015,,,,,
Non-invasive genetic mark-recapture as a means to study population sizes and marking behaviour of the elusive Eurasian Otter (Lutra lutra),Population ,Population Genetics ,Spraint,Germany,2015,,,,,
Diet and Feeding Habits of the Eurasian Otter (Lutra lutra): Experiences from Post mortem Analysis,Ecology ,Diet,Spraint,Hungary,2015,,,,,Region
Why Camera Traps Fail to Detect a Semi-Aquatic Mammal: Activation Devices as Possible Cause,Reviews and methods,Camera traps ,Videos ,Italy,2015,,,,,
Rediscovering the Eurasian Otter (Lutra Lutra L.) in Friuli Venezia Giulia and Notes on its Possible Expansion in Northern Italy,Population ,Population distribution,Survey,Italy_Slovenia,2015,,,,,3 river systems
"Diet and seasonal trophic strategy of the European Otter, Lutra lutra, in Middle Atlas, Morocco",Ecology ,Diet,Spraint,Morocco,2015,,,,,1 river system
Molecular characterisation of Sarcocystis lutrae n. sp and Toxoplasma gondii from the musculature of two Eurasian otters (Lutra lutra) in Norway,Health,Parasites,Tissue samples ,Norway,2015,,,,,
Determinants of the presence of conflict bird and mammal species at pond fisheries in western Poland,Ecology ,Human impacts,Spraint,Poland,2015,,,,,1 region
DEMODEX LUTRAE N. SP (ACARI) IN EUROPEAN OTTER LUTRA LUTRA (CARNIVORA: MUSTELIDAE) WITH DATA FROM OTHER DEMODECID MITES IN CARNIVORES,Health,Parasites,Specimen,Poland,2015,,,,,
"How do Common Otters (Lutra lutra, Linnaeus 1758) Interact? Behavioral Study on a Pair of Otters in Captivity",Behaviour,Daily Routine ,Observations ,Portugal,2015,,,,,
Eurasian otter (Lutra lutra) density estimate based on radio tracking and other data sources,Population ,Population Size ,Tracking,Portugal,2015,,,,,
A Study of Bleaching Phenomenon of Otter (Lutra lutra) Spraints in Relation to Weather Conditions and Characteristics of Sprainting Sites,Ecology ,Environmental factors,Enviromental variables,Republic of Korea,2015,,,,,NA
Trace element analysis of three tissues from Eurasian otters (Lutra lutra) in Korea,Pollution,Heavy metals,Tissue samples ,Republic of Korea,2015,,,,,
Special Features of Otter (Lutra lutra) Nutrition in the Lowland River of the Southern Amur Region on the Example of Bolshekhekhtsirsky Reserve ,Ecology ,Diet,Spraint,Russian Federation,2015,,,,,1 river system
Low epigenetic variability of the Eurasian otter Lutra lutra (L.) from Europe to Kamchatka,Population ,Population Size ,Tissue samples ,Russian Federation,2015,,,,,
Molecular ecology of european mustelids,Population ,Population Genetics ,Spraint,Spain,2015,,,,,
Genetic analysis of Eurasian otters (Lutra lutra) reveals high admixture in Finland and pronounced differentiation in Sweden,Population ,Population Genetics ,Tissue samples ,Sweden,2015,,,,,
Population structure and recent temporal changes in genetic variation in Eurasian otters from Sweden,Population ,Population Structure ,Tissue samples ,Sweden,2015,,,,,
A NEW RECORD IN DISTRIBUTION REGION OF OTTER (Lutra lutra) IN TURKEY,Population ,Population Size ,Survey,Turkey,2015,,,,,
Scent signals individual identity and country of origin in otters,Behaviour,Chemical communication ,Spraint,United Kingdom,2015,NA,,,,
"Predation of newts (Salamandridae, Pleurodelinae) by Eurasian otters Lutra lutra (Linnaeus) ",Ecology ,Diet,Spraint,United Kingdom,2015,Glamorgan,South Wales,Wales,,1 river system
Spatial and seasonal factors are key determinants in the aggregation of helminths in their definitive hosts: Pseudamphistomum truncatum in otters (Lutra lutra),Health,Parasites,Tissue samples ,United Kingdom,2015,National ,National ,England wales ,,
High liver content of polybrominated diphenyl ether (PBDE) in otters (Lutra lutra) from England and Wales,Pollution,POPs,Tissue samples ,United Kingdom,2015,National ,,,,
"Impact of human-induced threats on the activity of the otter (Lutra lutra) along the Drinos valley, Southern Albania",Ecology ,Human impacts ,Survey,Albania,2014,,,,,1 river system
Mercury in various tissues of three mustelid species and other trace metals in liver of European otter from Eastern Finland,Pollution,Heavy metals,Specimen,Finland,2014,,,,,
Integrated modelling of functional and structural connectivity of river corridors for European otter recovery,Ecology ,Habitat sutibility ,Enviromental variables,France,2014,,,,,1 river system
Transboundary ecological networks as an adaptation strategy to climate change: The example of the Dutch - German border,Ecology ,Climate change ,Enviromental variables,Germany,2014,,,,,1 region
"Occurrence, food habits, and activity patterns of Eurasian otters Lutra lutra in northwestern Greece: implications for research and conservation",Behaviour,Daily Routine ,Camera traps ,Greece,2014,,,,,
Fish preference of the Eurasian otter (Lutra lutra) on an abandoned fish pond and the role of fish sampling methods,Ecology ,Diet,Spraint,Hungary,2014,,,,,1 pond
Effects of extensive fishpond management and human disturbance factors on Eurasian otter (Lutra lutra L. 1758) populations in Eastern Europe,Ecology ,Habitat Use ,Enviromental variables,Hungary,2014,,,,,1 region
"The diet of Eurasian otters in the Jajrood River system, Iran",Ecology ,Diet,Spraint,Iran,2014,,,,,1 river system
"Otter Hunting and Trapping, a Traditional Practice of Marsh Arabs of Iraq",Ecology,Human impacts,Survey,Iraq,2014,,,,,Region
Covering over the cracks in conservation assessments at EU interfaces: A cross-jurisdictional ecoregion scale approach using the Eurasian otter (Lutra lutra),Population ,Population Size ,Survey,Ireland_United Kingdom  ,2014,,,,,
First description of adiaspiromycosis in an Eurasian otter (Lutra lutra) in Italy,Health,Disease,Specimen,Italy,2014,,,,,
Procedures to genotype problematic non-invasive otter (Lutra lutra) samples,Reviews and methods,Genetic Methodologies ,Literiture,Italy,2014,,,,,
EFFECTS OF FLOW REGULATION AND NON-NATIVE SPECIES ON FEEDING HABITS OF EURASIAN OTTER Lutra lutra IN MEDITERRANEAN TEMPORARY RIVERS,Ecology ,Diet,Spraint,Medaterranian ,2014,,,,,1 river system
"Sociospatial organization of a solitary carnivore, the Eurasian otter (Lutra lutra)",Population ,Population Structure ,Tracking,Medaterranian ,2014,,,,,
Resource availability and use by Eurasian otters Lutra lutra in a heavily modified river-canal system,Ecology ,Diet,Spraint,Poland,2014,,,,,1 river system
New data on the parasites of the Eurasian otter (Lutra lutra),Health,Parasites,Specimen,Poland,2014,,,,,
"Sprainting sites and feeding habits of the otter (Lutra lutra) in the Douro River estuary, Portugal ",Ecology ,Diet,Spraint,Portugal,2014,,,,,1 river system
The response of otters to environmental changes imposed by the construction of large dams,Ecology ,Human impacts ,Survey,Portugal,2014,,,,,1 river system
Eurasian otters modify their trophic niche after the introduction of non-native prey in Mediterranean fresh waters,Ecology ,Niche Occupation ,Spraint,Portugal,2014,,,,,1 river system
"The Eurasian otter Lutra lutra (Linnaeus, 1758) in Portugal",Reviews and methods,Species Review ,Literiture,Portugal,2014,,,,,
SURVEY OF MYCOBACTERIUM AVIUM SUBSPECIES PARATUBERCULOSIS IN ROAD-KILLED WILD CARNIVORES IN PORTUGAL,Health,Disease,Specimen,Spain,2014,,,,,
